doi,coder,subfield,title,xml_path,sample_id,gender,race,education,ses,note
10.1371/journal.pone.0181445,SJ,Addiction,Does culture create craving? Evidence from the case of menstrual chocolate craving,/scratch/yex8wb/allofplos_corpus/journal.pone.0181445.xml,1,"1, 100% Female",0,"1, 100% undergraduate students",0,All female undergrad sample by design
10.1371/journal.pone.0301735,SJ,Addiction,Predicting harmful alcohol use prevalence in Sub-Saharan Africa between 2015 and 2019: Evidence from population-based HIV impact assessment,/scratch/yex8wb/allofplos_corpus/journal.pone.0301735.xml,1,"1, 36.5% Male, 63.5% Female",0,"1, 8.6% None, 43.4% Primary, 39.0% Secondary, 9.1% Tertiary","1, quintiles reported (Poorest 22.0%, Poor 19.1%, Middle 20.7%, Rich 19.1%, Richest 19.1%)","Multi-country PHIA data (Eswatini, Malawi, Namibia, Tanzania, Zambia, Zimbabwe), no race/ethnicity reported"
10.1371/journal.pone.0279238,SJ,Addiction,"Childhood sexual abuse, alcohol and drug use problems among Black sexual minority men in six US Cities: Findings from the HPTN 061 study",/scratch/yex8wb/allofplos_corpus/journal.pone.0279238.xml,1,"1, 100% Male","1, 100% Black","1, 54.1% Less than college, 45.9% Some college or more","1, 39.5% <$10,000, 21.7% $10,000-19,999, 13.0% $20,000-29,000, 25.8% ≥$30,000","All Black sexual minority men by design, six US cities"
10.1371/journal.pone.0055293,SJ,Cognitive psychology,Beyond Labelling: What Strategies Do Nut Allergic Individuals Employ to Make Food Choices? A Qualitative Study,/scratch/yex8wb/allofplos_corpus/journal.pone.0055293.xml,1,"1, 28.1% Male, 71.9% Female",0,0,0,"UK sample, ages 16-70, recruited from allergy clinics/GP surgeries/university"
10.1371/journal.pone.0145455,SJ,Cognitive psychology,The Relationship between Health Literacy and Health Disparities: A Systematic Review,/scratch/yex8wb/allofplos_corpus/journal.pone.0145455.xml,1,0,0,0,0,"Systematic review of 36 studies, no single sample to report demographics for"
10.1371/journal.pone.0272909,SJ,Cognitive psychology,Increased women's empowerment and regional inequality in Sub-Saharan Africa between 1995 and 2015,/scratch/yex8wb/allofplos_corpus/journal.pone.0272909.xml,1,"1, 100% Female",0,0,0,"142 DHS surveys across Sub-Saharan Africa, women only by design; no individual race/education/SES breakdown reported (education is itself an outcome domain, not sample demographics)"
10.1371/journal.pone.0321398,SJ,Cognitive psychology,Current status and influencing factors of nurses' work engagement in Chinese tertiary hospitals: A latent profile analysis,/scratch/yex8wb/allofplos_corpus/journal.pone.0321398.xml,1,"1, 5.4% Male, 94.6% Female",0,"1, 23.5% Junior college or below, 75.4% Undergraduate, 1.1% Master's or above
SES: 1, 34.3% <5000 CNY/month, 49.0% 5000-8000, 15.4% 8000-11000, 4.6% ≥11000",,"1,919 nurses from 12 tertiary hospitals in Sichuan Province, China; totals computed from three work-engagement subgroup counts in the paper"
10.1371/journal.pone.0160304,SJ,Cognitive psychology,Decoding the Locus of Covert Visuospatial Attention from EEG Signals,/scratch/yex8wb/allofplos_corpus/journal.pone.0160304.xml,1,"1, 80% Female, 20% Male",0,0,0,"Healthy adults, mean age 23.2"
10.1371/journal.pone.0238804,SJ,Cognitive psychology,"Online activities as risk factors for Problematic
internet use among students in Bahir Dar
University, North West Ethiopia: A hierarchical
regression model",/scratch/yex8wb/allofplos_corpus/journal.pone.0238804.xml,1,"1, 65.9% Male, 34.1% Female",0,"1, 36.1% Social sciences, 19% Engineering, 21.6% Law, 7.3% Agriculture, 16.1% Textile",0,"Single Ethiopian university, undergraduates, mean age 21.38; no race/SES reported"
10.1371/journal.pone.0215304,SJ,Cognitive psychology,Child development in the context of biological and psychosocial hazards among poor families in Bangladesh,/scratch/yex8wb/allofplos_corpus/journal.pone.0215304.xml,1,0,0,"1, CRYPTO maternal 4.5 yrs, PROVIDE maternal 4.2 yrs","1, monthly household income CRYPTO $185/PROVIDE $155; 89-92% below $1.90/day; housing risk and asset indices reported (Table 1)","Two cohorts, urban poor families in Dhaka, Bangladesh; no child gender or race/ethnicity reported"
